No,Id,Accion,Pregunta
1,ft,Un partido,¿a qué hora es el partido de los pumas?
2,ft,Un partido,¿donde se va a jugar el partido de los pumas?
3,ft,Un partido,¿quien va ganando el partido de los pumas?
4,ft,Un partido,dame el marcador del partido de los pumas
5,ft,Un partido,¿ya acabo el partido de los pumas?
6,ft,Un partido,"Chatbot, cuál es el marcador del partido de las chivas"
7,ft,Un partido,"Chatbot, cómo van las chivas"
8,ft,Un partido,"Chatbot, cuál es el resultado del partido de las chivas"
9,ft,Un partido,"Chatbot, cómo va el partido de las chivas"
10,ft,Un partido,"Chatbot, quién va ganando en el partido de las chivas"
11,ft,Un partido,"Chatbot, como va el partido de chivas y toluca"
12,ft,Un partido,"Chatbot, quien gano el palrtido de atlas y guadalajara"
13,ft,Un partido,"Chatbot, a que hora será el partido de america contra unam"
14,ft,Un partido,"Chatbot, quien ganara el clásico de chivas america?"
15,ft,Un partido,"Chatbot, cual fue el marcador entre el pachuca y el toluca?"
35,ft,Un partido,¿quién está jugando?
36,ft,Un partido,¿a que hora juega EQUIPO?
37,ft,Un partido,¿Cual es el marcador de EQUIPO EQUIPO?
38,ft,Un partido,¿quién ganó EQUIPO o EQUIPO?
39,ft,Un partido,¿Cuándo juega EQUIPO contra EQUIPO?
